ID,USER_ID,SUB,SUB_U,SUB_G,PERIOD,PERIOD_AMOUNT,SOLD_TS,SOLD_MONTH,ACTUAL_START_TS,ACTUAL_END_TS,EXPECTED_END_TS,REFUND_TS,CHARGEBACK_TS,LAG_DAYS_REFUND,PLAN_ID,AUTO_RENEWAL,PRICE,USD_PRICE,MERCHANT_ID,CURRENCY,PREADJ_SUB_NUMBER,SUBSCRIPTION_NUMBER,COHORT_NUMBER,PRODUCT_COHORT,PRODUCT_COHORT_TS,COHORT_NUMBER_U,PRODUCT_COHORT_U,PRODUCT_COHORT_U_TS,FTS_COHORT,FTS_COHORT_TS,RETENTION_NUMBER,RETENTION_COHORT,RETENTION_COHORT_TS,RETENTION_NUMBER_U,RETENTION_COHORT_U,RETENTION_COHORT_U_TS,FTS_SUB,FTS_SUB_U,LAG_DAYS_FROM_PREV_SUB,COUNTRY_CODE,DEVICE,LOC,RETENTION_TYPE,RETENTION_TYPE_U,VUID,NEXT_MERCHANT_ID,NEXT_SOLD_TS,NEXT_START_TS,NEXT_END_TS,NEXT_SUB,NEXT_SUB_U,NEXT_SUB_UPGRADE,PREV_MERCHANT_ID,PREV_SOLD_TS,PREV_START_TS,PREV_END_TS,PREV_SUB,PREV_SUB_U,PREV_SUB_UPGRADE,IS_PREV_FREETRIAL,IS_PREV_FREETRIAL_MERCHANT_ID,STORE_REFERRER,LTR
64587047,XXX,plus yearly,plus yearly,plus,year,1,12/7/2016 11:38,12/1/2016,12/7/2016 11:38,9/1/2017 10:23,12/7/2017,(null),(null),(null),708406,FALSE,59.95,59.95,XXX,USD,1,1,0,12/1/2016,12/7/2016 11:38,0,12/1/2016,12/7/2016 11:38,12/1/2016,12/7/2016 11:38,1,12/1/2016,12/7/2016 11:38,1,12/1/2016,12/7/2016 11:38,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,176896996.2,xxx,9/1/2017 10:23,9/1/2017 10:23,9/1/2018 0:00,pro,pro,1,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
21491028,XXX,plus yearly,plus yearly,plus,year,1,10/30/2018 13:27,10/1/2018,10/30/2018 13:27,10/30/2019 0:00,10/30/2019,(null),(null),(null),1125232,TRUE,87.17,87.17,XXX,USD,1,1,0,10/1/2018,10/30/2018 13:27,0,10/1/2018,10/30/2018 13:27,10/1/2018,10/30/2018 13:27,1,10/1/2018,10/30/2018 13:27,1,10/1/2018,10/30/2018 13:27,plus yearly,plus yearly,(null),(null),mobile,apple,fts,fts,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
63437818,XXX,plus monthly,plus monthly,plus,month,1,6/5/2016 21:06,6/1/2016,6/5/2016 21:06,9/5/2016 0:00,7/5/2016,(null),(null),(null),163211,FALSE,0,0.00E+00,XXX,USD,1,1,0,6/1/2016,6/5/2016 21:06,0,6/1/2016,6/5/2016 21:06,6/1/2016,6/5/2016 21:06,1,6/1/2016,6/5/2016 21:06,1,6/1/2016,6/5/2016 21:06,plus monthly,plus monthly,(null),(null),mobile,onsite,fts,fts,478216066.2,xxx,6/5/2016 21:14,9/5/2016 0:00,9/5/2017 0:00,plus yearly,plus yearly,1,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),222
63190324,XXX,plus yearly,plus yearly,plus,year,1,5/4/2016 4:24,5/1/2016,5/4/2016 4:24,5/4/2017 0:00,5/4/2017,(null),(null),(null),708406,FALSE,399.95,59.96500556,XXX,DKK,1,1,0,5/1/2016,5/4/2016 4:24,0,5/1/2016,5/4/2016 4:24,5/1/2016,5/4/2016 4:24,1,5/1/2016,5/4/2016 4:24,1,5/1/2016,5/4/2016 4:24,plus yearly,plus yearly,(null),DK,desktop,onsite,fts,fts,1225449782,xxx,5/5/2017 7:24,5/5/2017 7:24,5/4/2018 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
64343563,XXX,plus monthly,plus monthly,plus,month,1,10/7/2016 13:18,10/1/2016,10/7/2016 13:18,11/7/2016 0:00,11/7/2016,(null),(null),(null),708407,FALSE,9.95,9.95,XXX,USD,1,1,0,10/1/2016,10/7/2016 13:18,0,10/1/2016,10/7/2016 13:18,10/1/2016,10/7/2016 13:18,1,10/1/2016,10/7/2016 13:18,1,10/1/2016,10/7/2016 13:18,plus monthly,plus monthly,(null),US,desktop,onsite,fts,fts,pl1670151220.1110397932,xxx,11/7/2016 6:37,11/7/2016 6:37,12/7/2016 0:00,plus monthly,plus monthly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),222
64932843,XXX,plus yearly,plus yearly,plus,year,1,3/9/2017 15:12,3/1/2017,3/9/2017 15:12,3/9/2018 0:00,3/9/2018,(null),(null),(null),708406,FALSE,49.95,52.44504742,XXX,EUR,1,1,0,3/1/2017,3/9/2017 15:12,0,3/1/2017,3/9/2017 15:12,3/1/2017,3/9/2017 15:12,1,3/1/2017,3/9/2017 15:12,1,3/1/2017,3/9/2017 15:12,plus yearly,plus yearly,(null),NL,desktop,onsite,fts,fts,1008873545,xxx,3/9/2018 8:03,3/9/2018 8:03,3/9/2019 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
63320668,XXX,plus yearly,plus yearly,plus,year,1,5/20/2016 12:16,5/1/2016,5/20/2016 12:16,5/20/2017 0:00,5/20/2017,(null),(null),(null),708406,FALSE,59.95,59.95,XXX,USD,1,1,0,5/1/2016,5/20/2016 12:16,0,5/1/2016,5/20/2016 12:16,5/1/2016,5/20/2016 12:16,1,5/1/2016,5/20/2016 12:16,1,5/1/2016,5/20/2016 12:16,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,1896164651,xxx,5/20/2017 6:10,5/20/2017 6:10,5/20/2018 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
63538474,XXX,plus monthly,plus monthly,plus,month,1,6/19/2016 3:59,6/1/2016,6/19/2016 3:59,7/19/2016 0:00,7/19/2016,(null),(null),(null),708407,FALSE,10.95,7.952557102,XXX,AUD,1,1,0,6/1/2016,6/19/2016 3:59,0,6/1/2016,6/19/2016 3:59,6/1/2016,6/19/2016 3:59,1,6/1/2016,6/19/2016 3:59,1,6/1/2016,6/19/2016 3:59,plus monthly,plus monthly,(null),AU,desktop,onsite,fts,fts,pl1169451648.11793461,xxx,7/19/2016 6:58,7/19/2016 6:58,8/19/2016 0:00,plus monthly,plus monthly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),222
65983249,XXX,plus yearly,plus yearly,plus,year,1,12/8/2017 12:23,12/1/2017,12/8/2017 12:23,12/8/2018 0:00,12/8/2018,(null),(null),(null),1118350,FALSE,84,84,XXX,USD,1,1,0,12/1/2017,12/8/2017 12:23,0,12/1/2017,12/8/2017 12:23,12/1/2017,12/8/2017 12:23,1,12/1/2017,12/8/2017 12:23,1,12/1/2017,12/8/2017 12:23,plus yearly,plus yearly,(null),BR,desktop,onsite,fts,fts,1883822725,xxx,12/8/2018 3:58,12/8/2018 3:58,12/8/2019 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
6953348,XXX,pro,pro,pro,year,1,8/31/2016 11:52,8/1/2016,8/31/2016 11:52,8/31/2017 0:00,8/31/2017,(null),(null),(null),708420,FALSE,199,199,XXX,USD,1,1,0,8/1/2016,8/31/2016 11:52,0,8/1/2016,8/31/2016 11:52,8/1/2016,8/31/2016 11:52,1,8/1/2016,8/31/2016 11:52,1,8/1/2016,8/31/2016 11:52,pro,pro,(null),US,desktop,onsite,fts,fts,pl152385203.1854659714,xxx,8/31/2017 5:12,8/31/2017 5:12,8/31/2018 0:00,pro,pro,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),893
64632480,XXX,plus yearly,plus yearly,plus,year,1,12/20/2016 2:00,12/1/2016,12/20/2016 2:00,12/20/2016 13:49,12/20/2017,(null),(null),(null),708406,FALSE,59.95,59.95,XXX,USD,1,1,0,12/1/2016,12/20/2016 2:00,0,12/1/2016,12/20/2016 2:00,12/1/2016,12/20/2016 2:00,1,12/1/2016,12/20/2016 2:00,1,12/1/2016,12/20/2016 2:00,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,pl582191757.990323298,xxx,12/20/2016 13:49,12/20/2016 13:49,12/20/2017 0:00,pro,pro,1,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
63824174,XXX,plus yearly,plus yearly,plus,year,1,7/28/2016 14:37,7/1/2016,7/28/2016 14:37,7/28/2017 0:00,7/28/2017,(null),(null),(null),708406,FALSE,789.95,41.86471639,XXX,MXN,1,1,0,7/1/2016,7/28/2016 14:37,0,7/1/2016,7/28/2016 14:37,7/1/2016,7/28/2016 14:37,1,7/1/2016,7/28/2016 14:37,1,7/1/2016,7/28/2016 14:37,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,pl252297300.1748953016,xxx,7/28/2017 9:35,7/28/2017 9:35,1/18/2018 17:50,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
63204417,XXX,plus yearly,plus yearly,plus,year,1,5/5/2016 21:08,5/1/2016,5/5/2016 21:08,5/5/2017 0:00,5/5/2017,(null),(null),(null),708406,FALSE,62499,52.90210355,XXX,KRW,1,1,0,5/1/2016,5/5/2016 21:08,0,5/1/2016,5/5/2016 21:08,5/1/2016,5/5/2016 21:08,1,5/1/2016,5/5/2016 21:08,1,5/1/2016,5/5/2016 21:08,plus yearly,plus yearly,(null),KR,desktop,onsite,fts,fts,991534229.1,xxx,5/5/2017 8:08,5/5/2017 8:08,5/5/2018 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
21623539,XXX,plus monthly,plus monthly,plus,month,1,11/8/2018 21:44,11/1/2018,11/8/2018 21:44,12/8/2018 0:00,12/8/2018,(null),(null),(null),1125230,TRUE,12.24,12.24,XXX,USD,1,1,0,11/1/2018,11/8/2018 21:44,0,11/1/2018,11/8/2018 21:44,11/1/2018,11/8/2018 21:44,1,11/1/2018,11/8/2018 21:44,1,11/1/2018,11/8/2018 21:44,plus monthly,plus monthly,(null),(null),mobile,apple,fts,fts,(null),xxx,12/8/2018 21:44,12/8/2018 21:44,1/8/2019 0:00,plus monthly,plus monthly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),222
63262577,XXX,plus monthly,plus monthly,plus,month,1,5/13/2016 2:44,5/1/2016,5/13/2016 2:44,6/13/2016 0:00,6/13/2016,(null),(null),(null),708407,FALSE,7.95,11.34750509,XXX,GBP,1,1,0,5/1/2016,5/13/2016 2:44,0,5/1/2016,5/13/2016 2:44,5/1/2016,5/13/2016 2:44,1,5/1/2016,5/13/2016 2:44,1,5/1/2016,5/13/2016 2:44,plus monthly,plus monthly,(null),GB,desktop,onsite,fts,fts,pl160162974.418766825,xxx,6/13/2016 7:51,6/13/2016 7:51,7/13/2016 0:00,plus monthly,plus monthly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),222
65055356,XXX,plus yearly,plus yearly,plus,year,1,4/10/2017 14:01,4/1/2017,4/10/2017 14:01,4/10/2018 0:00,4/10/2018,(null),(null),(null),708406,FALSE,499.95,57.247324,XXX,NOK,1,1,0,4/1/2017,4/10/2017 14:01,0,4/1/2017,4/10/2017 14:01,4/1/2017,4/10/2017 14:01,1,4/1/2017,4/10/2017 14:01,1,4/1/2017,4/10/2017 14:01,plus yearly,plus yearly,(null),NO,desktop,onsite,fts,fts,279336109.7,xxx,4/10/2018 7:18,4/10/2018 7:18,4/10/2019 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
66160548,XXX,plus yearly,plus yearly,plus,year,1,1/23/2018 6:13,1/1/2018,1/23/2018 6:13,1/23/2019 0:00,1/23/2019,(null),(null),(null),1118350,FALSE,49.95,59.96959069,XXX,EUR,1,1,0,1/1/2018,1/23/2018 6:13,0,1/1/2018,1/23/2018 6:13,1/1/2018,1/23/2018 6:13,1,1/1/2018,1/23/2018 6:13,1,1/1/2018,1/23/2018 6:13,plus yearly,plus yearly,(null),ES,desktop,onsite,fts,fts,1641603715,xxx,1/23/2019 6:09,1/23/2019 6:09,1/23/2020 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
64399389,XXX,plus monthly,plus monthly,plus,month,1,10/17/2016 12:14,10/1/2016,10/17/2016 12:14,11/17/2016 0:00,11/17/2016,(null),(null),(null),708407,FALSE,9.95,9.95,XXX,USD,1,1,0,10/1/2016,10/17/2016 12:14,0,10/1/2016,10/17/2016 12:14,10/1/2016,10/17/2016 12:14,1,10/1/2016,10/17/2016 12:14,1,10/1/2016,10/17/2016 12:14,plus monthly,plus monthly,(null),US,desktop,onsite,fts,fts,pl241351156.887037556,xxx,11/17/2016 5:15,11/17/2016 5:15,12/17/2016 0:00,plus monthly,plus monthly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),222
64728573,XXX,plus yearly,plus yearly,plus,year,1,1/16/2017 17:36,1/1/2017,1/16/2017 17:36,1/16/2018 0:00,1/16/2018,(null),(null),(null),708406,FALSE,59.95,59.95,XXX,USD,1,1,0,1/1/2017,1/16/2017 17:36,0,1/1/2017,1/16/2017 17:36,1/1/2017,1/16/2017 17:36,1,1/1/2017,1/16/2017 17:36,1,1/1/2017,1/16/2017 17:36,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,1630668.916,xxx,1/16/2018 4:02,1/16/2018 4:02,1/16/2019 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
21891180,XXX,plus yearly,plus yearly,plus,year,1,11/27/2018 14:32,11/1/2018,11/27/2018 14:32,11/27/2019 0:00,11/27/2019,(null),(null),(null),1125231,TRUE,202,52.34272702,XXX,BRL,1,1,0,11/1/2018,11/27/2018 14:32,0,11/1/2018,11/27/2018 14:32,11/1/2018,11/27/2018 14:32,1,11/1/2018,11/27/2018 14:32,1,11/1/2018,11/27/2018 14:32,plus yearly,plus yearly,(null),(null),unknown,google,fts,fts,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
62922528,XXX,plus monthly,plus monthly,plus,month,1,3/28/2016 17:29,3/1/2016,3/28/2016 17:29,4/28/2016 0:00,4/28/2016,(null),(null),(null),708407,FALSE,9.95,9.95,XXX,USD,1,1,0,3/1/2016,3/28/2016 17:29,0,3/1/2016,3/28/2016 17:29,3/1/2016,3/28/2016 17:29,1,3/1/2016,3/28/2016 17:29,1,3/1/2016,3/28/2016 17:29,plus monthly,plus monthly,(null),US,desktop,onsite,fts,fts,1500981526,xxx,4/28/2016 4:30,4/28/2016 4:30,5/28/2016 0:00,plus monthly,plus monthly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),222
63875164,XXX,plus yearly,plus yearly,plus,year,1,8/4/2016 16:46,8/1/2016,8/4/2016 16:46,8/4/2017 0:00,8/4/2017,(null),(null),(null),708406,FALSE,59.95,59.95,XXX,USD,1,1,0,8/1/2016,8/4/2016 16:46,0,8/1/2016,8/4/2016 16:46,8/1/2016,8/4/2016 16:46,1,8/1/2016,8/4/2016 16:46,1,8/1/2016,8/4/2016 16:46,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,pl2100205753.946527130,xxx,8/4/2017 6:19,8/4/2017 6:19,8/4/2018 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
64539927,XXX,plus yearly,plus yearly,plus,year,1,11/25/2016 0:53,11/1/2016,11/25/2016 0:53,11/25/2017 0:00,11/25/2017,(null),(null),(null),708406,FALSE,59.95,59.95,XXX,USD,1,1,0,11/1/2016,11/25/2016 0:53,0,11/1/2016,11/25/2016 0:53,11/1/2016,11/25/2016 0:53,1,11/1/2016,11/25/2016 0:53,1,11/1/2016,11/25/2016 0:53,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,pl1662519184.987886702,xxx,11/25/2017 6:58,11/25/2017 6:58,11/25/2018 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
64245794,XXX,plus yearly,plus yearly,plus,year,1,9/25/2016 3:09,9/1/2016,9/25/2016 3:09,9/25/2017 0:00,9/25/2017,(null),(null),(null),708406,FALSE,74.95,54.23395511,XXX,SGD,1,1,0,9/1/2016,9/25/2016 3:09,0,9/1/2016,9/25/2016 3:09,9/1/2016,9/25/2016 3:09,1,9/1/2016,9/25/2016 3:09,1,9/1/2016,9/25/2016 3:09,plus yearly,plus yearly,(null),SG,desktop,onsite,fts,fts,pl868710409.1052850125,xxx,9/25/2017 3:57,9/25/2017 3:57,9/25/2018 0:00,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
63911105,XXX,plus yearly,plus yearly,plus,year,1,8/10/2016 5:19,8/1/2016,8/10/2016 5:19,8/10/2017 0:00,8/10/2017,(null),(null),(null),708406,FALSE,49.95,64.5392677,XXX,GBP,1,1,0,8/1/2016,8/10/2016 5:19,0,8/1/2016,8/10/2016 5:19,8/1/2016,8/10/2016 5:19,1,8/1/2016,8/10/2016 5:19,1,8/1/2016,8/10/2016 5:19,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,pl1199607120.1957768238,xxx,8/10/2017 3:37,8/10/2017 3:37,1/2/2018 10:25,plus yearly,plus yearly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
62747121,XXX,plus monthly,plus monthly,plus,month,1,3/5/2016 7:31,3/1/2016,3/5/2016 7:31,4/5/2016 0:00,4/5/2016,(null),(null),(null),708407,FALSE,7.95,8.737744258,XXX,EUR,1,1,0,3/1/2016,3/5/2016 7:31,0,3/1/2016,3/5/2016 7:31,3/1/2016,3/5/2016 7:31,1,3/1/2016,3/5/2016 7:31,1,3/1/2016,3/5/2016 7:31,plus monthly,plus monthly,(null),FR,desktop,onsite,fts,fts,pl1617415773.1169672557,xxx,4/5/2016 5:26,4/5/2016 5:26,5/5/2016 0:00,plus monthly,plus monthly,0,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),222
60902372,XXX,plus yearly,plus yearly,plus,year,1,1/28/2016 19:37,1/1/2016,1/28/2016 19:37,5/28/2016 11:23,1/28/2017,(null),(null),(null),708406,FALSE,59.95,59.95,XXX,USD,1,1,0,1/1/2016,1/28/2016 19:37,0,1/1/2016,1/28/2016 19:37,1/1/2016,1/28/2016 19:37,1,1/1/2016,1/28/2016 19:37,1,1/1/2016,1/28/2016 19:37,plus yearly,plus yearly,(null),US,desktop,onsite,fts,fts,2059749327,xxx,5/28/2016 11:23,5/28/2016 11:23,5/28/2017 0:00,pro,pro,1,(null),(null),(null),(null),(null),(null),(null),0,(null),(null),397
